
colocar :	to place

cualquier :	any

deletrear :	to Spell

Desarrollado :	Developing

elaborado :	elaborate

esfuerzos :	efforts

Éxito :		Success

Explicar :	Explain

Fracasco :	failure

Iban :		they were going

Secilla :	Simple / Plain / Straightforward

Quizás :	Perhaps

Iniciar :	Start

Inundación :	Flood

Recursos :	Resourcess

Regando :	Watering (I am)

Regar :		(to) Water

Reúnen :	(they) meet

Riega : 	Waters (verb)

Salta :		Jumps

Sentido : 	Felt

Sequía :	Drought

Sombra :	Shadow

Sube :		Climbs

Tenido :	had

Tomado :	Taken

Vivido :	Lived

Venido :	(he/she) Come

Visto :		(I) seen

Cocinado :	Cooked

Hablado :	Spoken

Dejado	:	Left

//Él jamás había sentido esto por nadie	:	He had never felt this for anyone

//No voy a ninguna parte	:	 I am not going anywhere

//tratar ? intentar

//llevado	:	Taken

